,District,Area,Year,Number
75,КОКШЕТАУ Г.А.,городская местность,2011 год,712.0
76,КОКШЕТАУ Г.А.,городская местность,2016 год,732.0
77,КОКШЕТАУ Г.А.,городская местность,2010 год,554.0
78,КОКШЕТАУ Г.А.,городская местность,2015 год,725.0
79,КОКШЕТАУ Г.А.,городская местность,2013 год,765.0
80,КОКШЕТАУ Г.А.,городская местность,2014 год,840.0
81,КОКШЕТАУ Г.А.,городская местность,2012 год,705.0
82,КОКШЕТАУ Г.А.,городская местность,2017 год,760.0
83,КОКШЕТАУ Г.А.,городская местность,2022 год,405.0
84,КОКШЕТАУ Г.А.,городская местность,2021 год,532.0
85,КОКШЕТАУ Г.А.,городская местность,2020 год,680.0
86,КОКШЕТАУ Г.А.,городская местность,2023 год,339.0
87,КОКШЕТАУ Г.А.,сельская местность,2019 год,47
88,КОКШЕТАУ Г.А.,сельская местность,2018 год,65.0
89,КОКШЕТАУ Г.А.,сельская местность,2009 год,4.0
90,КОКШЕТАУ Г.А.,сельская местность,2011 год,4.0
91,КОКШЕТАУ Г.А.,сельская местность,2016 год,34.0
92,КОКШЕТАУ Г.А.,сельская местность,2010 год,9.0
93,КОКШЕТАУ Г.А.,сельская местность,2015 год,29.0
94,КОКШЕТАУ Г.А.,сельская местность,2014 год,18.0
95,КОКШЕТАУ Г.А.,сельская местность,2012 год,6.0
96,КОКШЕТАУ Г.А.,сельская местность,2017 год,48.0
97,КОКШЕТАУ Г.А.,сельская местность,2022 год,25.0
98,КОКШЕТАУ Г.А.,сельская местность,2021 год,26.0
99,КОКШЕТАУ Г.А.,сельская местность,2020 год,48.0
100,КОКШЕТАУ Г.А.,сельская местность,2023 год,21.0
101,КОКШЕТАУ Г.А.,Всего,2019 год,884
102,КОКШЕТАУ Г.А.,Всего,2018 год,749.0
103,КОКШЕТАУ Г.А.,Всего,2009 год,577.0
104,КОКШЕТАУ Г.А.,Всего,2011 год,716.0
105,КОКШЕТАУ Г.А.,Всего,2016 год,766.0
106,КОКШЕТАУ Г.А.,Всего,2010 год,563.0
107,КОКШЕТАУ Г.А.,Всего,2015 год,754.0
108,КОКШЕТАУ Г.А.,Всего,2013 год,765.0
109,КОКШЕТАУ Г.А.,Всего,2014 год,858.0
110,КОКШЕТАУ Г.А.,Всего,2012 год,711.0
111,КОКШЕТАУ Г.А.,Всего,2017 год,808.0
112,КОКШЕТАУ Г.А.,Всего,2022 год,430.0
113,КОКШЕТАУ Г.А.,Всего,2021 год,558.0
114,КОКШЕТАУ Г.А.,Всего,2020 год,728.0
115,КОКШЕТАУ Г.А.,Всего,2023 год,360.0
116,СТЕПНОГОРСК Г.А.,городская местность,2019 год,283
117,СТЕПНОГОРСК Г.А.,городская местность,2018 год,259.0
118,СТЕПНОГОРСК Г.А.,городская местность,2009 год,267.0
119,СТЕПНОГОРСК Г.А.,городская местность,2011 год,286.0
120,СТЕПНОГОРСК Г.А.,городская местность,2016 год,250.0
121,СТЕПНОГОРСК Г.А.,городская местность,2010 год,248.0
122,СТЕПНОГОРСК Г.А.,городская местность,2015 год,278.0
123,СТЕПНОГОРСК Г.А.,городская местность,2013 год,301.0
124,СТЕПНОГОРСК Г.А.,городская местность,2014 год,316.0
125,СТЕПНОГОРСК Г.А.,городская местность,2012 год,252.0
126,СТЕПНОГОРСК Г.А.,городская местность,2017 год,270.0
127,СТЕПНОГОРСК Г.А.,городская местность,2022 год,214.0
128,СТЕПНОГОРСК Г.А.,городская местность,2021 год,196.0
129,СТЕПНОГОРСК Г.А.,городская местность,2020 год,249.0
130,СТЕПНОГОРСК Г.А.,городская местность,2023 год,147.0
131,СТЕПНОГОРСК Г.А.,сельская местность,2019 год,7
132,СТЕПНОГОРСК Г.А.,сельская местность,2018 год,3.0
133,СТЕПНОГОРСК Г.А.,сельская местность,2016 год,6.0
134,СТЕПНОГОРСК Г.А.,сельская местность,2015 год,1.0
135,СТЕПНОГОРСК Г.А.,сельская местность,2013 год,1.0
136,СТЕПНОГОРСК Г.А.,сельская местность,2017 год,4.0
137,СТЕПНОГОРСК Г.А.,сельская местность,2022 год,5.0
138,СТЕПНОГОРСК Г.А.,сельская местность,2021 год,8.0
139,СТЕПНОГОРСК Г.А.,сельская местность,2020 год,8.0
140,СТЕПНОГОРСК Г.А.,сельская местность,2023 год,3.0
141,СТЕПНОГОРСК Г.А.,Всего,2019 год,290
142,СТЕПНОГОРСК Г.А.,Всего,2018 год,262.0
143,СТЕПНОГОРСК Г.А.,Всего,2009 год,267.0
144,СТЕПНОГОРСК Г.А.,Всего,2011 год,286.0
145,СТЕПНОГОРСК Г.А.,Всего,2016 год,256.0
146,СТЕПНОГОРСК Г.А.,Всего,2010 год,248.0
147,СТЕПНОГОРСК Г.А.,Всего,2015 год,279.0
148,СТЕПНОГОРСК Г.А.,Всего,2013 год,302.0
149,СТЕПНОГОРСК Г.А.,Всего,2014 год,316.0
150,СТЕПНОГОРСК Г.А.,Всего,2012 год,252.0
151,СТЕПНОГОРСК Г.А.,Всего,2017 год,274.0
152,СТЕПНОГОРСК Г.А.,Всего,2022 год,219.0
153,СТЕПНОГОРСК Г.А.,Всего,2021 год,204.0
154,СТЕПНОГОРСК Г.А.,Всего,2020 год,257.0
155,СТЕПНОГОРСК Г.А.,Всего,2023 год,150.0
156,АККОЛЬСКИЙ РАЙОН,городская местность,2019 год,82
157,АККОЛЬСКИЙ РАЙОН,городская местность,2018 год,67.0
158,АККОЛЬСКИЙ РАЙОН,городская местность,2009 год,49.0
159,АККОЛЬСКИЙ РАЙОН,городская местность,2011 год,68.0
160,АККОЛЬСКИЙ РАЙОН,городская местность,2016 год,52.0
161,АККОЛЬСКИЙ РАЙОН,городская местность,2010 год,46.0
162,АККОЛЬСКИЙ РАЙОН,городская местность,2015 год,61.0
163,АККОЛЬСКИЙ РАЙОН,городская местность,2013 год,74.0
164,АККОЛЬСКИЙ РАЙОН,городская местность,2014 год,69.0
165,АККОЛЬСКИЙ РАЙОН,городская местность,2012 год,68.0
166,АККОЛЬСКИЙ РАЙОН,городская местность,2017 год,69.0
167,АККОЛЬСКИЙ РАЙОН,городская местность,2022 год,56.0
168,АККОЛЬСКИЙ РАЙОН,городская местность,2021 год,47.0
169,АККОЛЬСКИЙ РАЙОН,городская местность,2020 год,58.0
170,АККОЛЬСКИЙ РАЙОН,городская местность,2023 год,45.0
171,АККОЛЬСКИЙ РАЙОН,сельская местность,2019 год,29
172,АККОЛЬСКИЙ РАЙОН,сельская местность,2018 год,19.0
173,АККОЛЬСКИЙ РАЙОН,сельская местность,2009 год,13.0
174,АККОЛЬСКИЙ РАЙОН,сельская местность,2011 год,19.0
175,АККОЛЬСКИЙ РАЙОН,сельская местность,2016 год,14.0
176,АККОЛЬСКИЙ РАЙОН,сельская местность,2010 год,17.0
177,АККОЛЬСКИЙ РАЙОН,сельская местность,2015 год,24.0
178,АККОЛЬСКИЙ РАЙОН,сельская местность,2013 год,15.0
179,АККОЛЬСКИЙ РАЙОН,сельская местность,2014 год,14.0
180,АККОЛЬСКИЙ РАЙОН,сельская местность,2012 год,20.0
181,АККОЛЬСКИЙ РАЙОН,сельская местность,2017 год,20.0
182,АККОЛЬСКИЙ РАЙОН,сельская местность,2022 год,13.0
183,АККОЛЬСКИЙ РАЙОН,сельская местность,2021 год,11.0
