terms/0,terms/1,termNames/0,termNames/1,periods/0/name,periods/0/date,periods/0/value,periods/1/name,periods/1/date,periods/1/value,periods/2/name,periods/2/date,periods/2/value,periods/3/name,periods/3/date,periods/3/value,periods/4/name,periods/4/date,periods/4/value,periods/5/name,periods/5/date,periods/5/value,periods/6/name,periods/6/date,periods/6/value,periods/7/name,periods/7/date,periods/7/value,periods/8/name,periods/8/date,periods/8/value,periods/9/name,periods/9/date,periods/9/value,periods/10/name,periods/10/date,periods/10/value,periods/11/name,periods/11/date,periods/11/value,periods/12/name,periods/12/date,periods/12/value,periods/13/name,periods/13/date,periods/13/value,periods/14/name,periods/14/date,periods/14/value,periods/15/name,periods/15/date,periods/15/value,periods/16/name,periods/16/date,periods/16/value,periods/17/name,periods/17/date,periods/17/value,periods/18/name,periods/18/date,periods/18/value,periods/19/name,periods/19/date,periods/19/value,periods/20/name,periods/20/date,periods/20/value,periods/21/name,periods/21/date,periods/21/value,periods/22/name,periods/22/date,periods/22/value,periods/23/name,periods/23/date,periods/23/value
264023,741917,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,1991,2018 год,31.12.2018,2107,2009 год,31.12.2009,1753,2011 год,31.12.2011,1877,2000 год,31.12.2000,983,2005 год,31.12.2005,1583,2002 год,31.12.2002,1252,2001 год,31.12.2001,1078,2007 год,31.12.2007,1579,2003 год,31.12.2003,1457,2008 год,31.12.2008,1714,2006 год,31.12.2006,1695,2004 год,31.12.2004,1541,2016 год,31.12.2016,2052,2010 год,31.12.2010,1884,2015 год,31.12.2015,2056,2013 год,31.12.2013,2063,2014 год,31.12.2014,2159,2012 год,31.12.2012,2024,2017 год,31.12.2017,2006,2022 год,31.12.2022,1619,2021 год,31.12.2021,1770,2020 год,31.12.2020,1938,2023 год,31.12.2023,1472
258742,533590,КОСТАНАЙСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1091,2018 год,31.12.2018,1119,2009 год,31.12.2009,910,2011 год,31.12.2011,1081,2000 год,31.12.2000,491,2005 год,31.12.2005,496,2002 год,31.12.2002,485,2001 год,31.12.2001,512,2007 год,31.12.2007,778,2003 год,31.12.2003,451,2008 год,31.12.2008,941,2006 год,31.12.2006,491,2004 год,31.12.2004,387,2016 год,31.12.2016,1088,2010 год,31.12.2010,1043,2015 год,31.12.2015,1204,2013 год,31.12.2013,1265,2014 год,31.12.2014,1258,2012 год,31.12.2012,1190,2017 год,31.12.2017,1213,2022 год,31.12.2022,673,2021 год,31.12.2021,840,2020 год,31.12.2020,931,2023 год,31.12.2023,692
264990,533589,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,3485,2018 год,31.12.2018,3555,2009 год,31.12.2009,3190,2011 год,31.12.2011,3398,2000 год,31.12.2000,2785,2005 год,31.12.2005,3099,2002 год,31.12.2002,3339,2001 год,31.12.2001,2855,2007 год,31.12.2007,3287,2003 год,31.12.2003,3252,2008 год,31.12.2008,2951,2006 год,31.12.2006,3621,2004 год,31.12.2004,3213,2016 год,31.12.2016,3744,2010 год,31.12.2010,3235,2015 год,31.12.2015,3967,2013 год,31.12.2013,3783,2014 год,31.12.2014,3817,2012 год,31.12.2012,3515,2017 год,31.12.2017,3912,2022 год,31.12.2022,1693,2021 год,31.12.2021,3005,2020 год,31.12.2020,2801,2023 год,31.12.2023,1723
263009,533589,ПАВЛОДАРСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,2632,2018 год,31.12.2018,2646,2009 год,31.12.2009,2223,2011 год,31.12.2011,2558,2000 год,31.12.2000,1706,2005 год,31.12.2005,1972,2002 год,31.12.2002,1845,2001 год,31.12.2001,1853,2007 год,31.12.2007,2074,2003 год,31.12.2003,1769,2008 год,31.12.2008,2047,2006 год,31.12.2006,2094,2004 год,31.12.2004,1877,2016 год,31.12.2016,2453,2010 год,31.12.2010,2303,2015 год,31.12.2015,2697,2013 год,31.12.2013,2755,2014 год,31.12.2014,2756,2012 год,31.12.2012,2644,2017 год,31.12.2017,2667,2022 год,31.12.2022,1693,2021 год,31.12.2021,2112,2020 год,31.12.2020,2126,2023 год,31.12.2023,1674
247783,533589,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,1839,2018 год,31.12.2018,1588,2009 год,31.12.2009,1349,2011 год,31.12.2011,1589,2000 год,31.12.2000,1006,2005 год,31.12.2005,1292,2002 год,31.12.2002,1054,2001 год,31.12.2001,1047,2007 год,31.12.2007,1287,2003 год,31.12.2003,1177,2008 год,31.12.2008,1325,2006 год,31.12.2006,1362,2004 год,31.12.2004,1198,2016 год,31.12.2016,1550,2010 год,31.12.2010,1317,2015 год,31.12.2015,1668,2013 год,31.12.2013,1782,2014 год,31.12.2014,1816,2012 год,31.12.2012,1590,2017 год,31.12.2017,1697,2022 год,31.12.2022,1113,2021 год,31.12.2021,1219,2020 год,31.12.2020,1481,2023 год,31.12.2023,881
263009,533590,ПАВЛОДАРСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,559,2018 год,31.12.2018,515,2009 год,31.12.2009,429,2011 год,31.12.2011,436,2000 год,31.12.2000,308,2005 год,31.12.2005,315,2002 год,31.12.2002,377,2001 год,31.12.2001,432,2007 год,31.12.2007,410,2003 год,31.12.2003,334,2008 год,31.12.2008,408,2006 год,31.12.2006,372,2004 год,31.12.2004,346,2016 год,31.12.2016,504,2010 год,31.12.2010,444,2015 год,31.12.2015,574,2013 год,31.12.2013,486,2014 год,31.12.2014,516,2012 год,31.12.2012,422,2017 год,31.12.2017,502,2022 год,31.12.2022,439,2021 год,31.12.2021,514,2020 год,31.12.2020,586,2023 год,31.12.2023,457
253160,741917,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,2231,2018 год,31.12.2018,1994,2009 год,31.12.2009,1502,2011 год,31.12.2011,1649,2000 год,31.12.2000,868,2005 год,31.12.2005,1230,2002 год,31.12.2002,1122,2001 год,31.12.2001,1072,2007 год,31.12.2007,1418,2003 год,31.12.2003,1162,2008 год,31.12.2008,1351,2006 год,31.12.2006,1498,2004 год,31.12.2004,1184,2016 год,31.12.2016,1833,2010 год,31.12.2010,1487,2015 год,31.12.2015,1807,2013 год,31.12.2013,1943,2014 год,31.12.2014,1963,2012 год,31.12.2012,1794,2017 год,31.12.2017,1988,2022 год,31.12.2022,1489,2021 год,31.12.2021,1776,2020 год,31.12.2020,1920,2023 год,31.12.2023,1475
248875,741917,АКТЮБИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,2673,2018 год,31.12.2018,2373,2009 год,31.12.2009,1777,2011 год,31.12.2011,2029,2000 год,31.12.2000,1215,2005 год,31.12.2005,1465,2002 год,31.12.2002,1551,2001 год,31.12.2001,1302,2007 год,31.12.2007,1562,2003 год,31.12.2003,1503,2008 год,31.12.2008,1569,2006 год,31.12.2006,1620,2004 год,31.12.2004,1441,2016 год,31.12.2016,2455,2010 год,31.12.2010,1865,2015 год,31.12.2015,2398,2013 год,31.12.2013,2336,2014 год,31.12.2014,2415,2012 год,31.12.2012,2298,2017 год,31.12.2017,2603,2022 год,31.12.2022,1996,2021 год,31.12.2021,2412,2020 год,31.12.2020,2020,2023 год,31.12.2023,1860
264990,533590,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1252,2018 год,31.12.2018,1066,2009 год,31.12.2009,1065,2011 год,31.12.2011,1143,2000 год,31.12.2000,736,2005 год,31.12.2005,651,2002 год,31.12.2002,781,2001 год,31.12.2001,797,2007 год,31.12.2007,1073,2003 год,31.12.2003,715,2008 год,31.12.2008,1052,2006 год,31.12.2006,881,2004 год,31.12.2004,667,2016 год,31.12.2016,1125,2010 год,31.12.2010,1143,2015 год,31.12.2015,1144,2013 год,31.12.2013,1211,2014 год,31.12.2014,1191,2012 год,31.12.2012,1199,2017 год,31.12.2017,1133,2022 год,31.12.2022,566,2021 год,31.12.2021,1161,2020 год,31.12.2020,1161,2023 год,31.12.2023,563
264023,533590,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,888,2018 год,31.12.2018,876,2009 год,31.12.2009,643,2011 год,31.12.2011,826,2000 год,31.12.2000,387,2005 год,31.12.2005,594,2002 год,31.12.2002,463,2001 год,31.12.2001,418,2007 год,31.12.2007,605,2003 год,31.12.2003,351,2008 год,31.12.2008,659,2006 год,31.12.2006,611,2004 год,31.12.2004,533,2016 год,31.12.2016,825,2010 год,31.12.2010,749,2015 год,31.12.2015,873,2013 год,31.12.2013,873,2014 год,31.12.2014,938,2012 год,31.12.2012,855,2017 год,31.12.2017,819,2022 год,31.12.2022,637,2021 год,31.12.2021,776,2020 год,31.12.2020,847,2023 год,31.12.2023,588
